261
1	29
1	103
1	164
1	167
1	192
3	30
3	33
3	59
3	85
3	124
3	131
3	181
4	57
5	24
5	39
5	57
5	91
5	103
5	116
5	152
5	200
5	204
5	214
5	223
5	226
5	231
6	18
6	28
6	39
6	41
6	85
6	118
6	119
6	131
6	147
6	165
6	178
6	181
6	189
6	194
6	196
6	203
6	204
6	216
6	241
7	28
7	29
7	39
7	70
7	71
7	101
7	105
7	118
7	129
7	164
7	165
7	167
7	180
7	187
7	192
7	204
7	216
7	219
7	232
7	234
7	238
7	240
7	244
7	248
8	135
8	142
8	177
9	26
9	45
9	61
9	110
9	128
9	136
9	170
10	14
10	23
10	224
11	24
11	29
11	39
11	85
11	91
11	144
11	145
11	155
11	226
11	231
13	91
13	190
14	10
14	23
14	224
15	62
15	91
15	225
15	231
16	41
16	52
16	59
16	72
16	77
16	124
16	126
16	131
16	181
16	194
16	228
16	247
17	35
18	3
18	6
18	19
18	28
18	29
18	30
18	39
18	65
18	70
18	71
18	72
18	85
18	101
18	118
18	119
18	126
18	129
18	131
18	145
18	147
18	155
18	178
18	181
18	185
18	192
18	203
18	204
18	226
18	240
18	241
18	244
19	30
19	59
19	72
19	85
19	147
19	181
19	185
19	218
22	31
22	154
23	10
23	14
23	51
23	94
23	140
23	172
23	224
23	253
24	39
24	57
24	113
24	116
24	204
24	225
24	226
24	231
26	9
26	128
27	34
27	52
27	59
27	77
27	150
27	169
27	183
27	218
28	6
28	39
28	85
28	99
28	119
28	124
28	126
28	131
28	145
28	165
28	180
28	181
28	184
28	185
28	189
28	196
28	204
28	216
28	219
28	222
28	226
28	232
28	235
28	241
28	248
29	7
29	18
29	30
29	54
29	71
29	85
29	108
29	122
29	129
29	140
29	163
29	164
29	172
29	178
29	185
29	192
29	219
29	223
29	240
29	244
30	3
30	16
30	19
30	59
30	72
30	85
30	99
30	147
30	150
30	169
30	181
30	185
30	215
30	218
30	240
31	48
31	154
33	3
33	50
33	59
33	88
33	131
33	228
34	52
34	77
34	87
35	17
35	252
36	52
36	76
36	86
36	87
36	125
36	130
36	135
36	168
36	171
36	177
36	207
36	247
37	54
37	158
37	188
37	236
38	9
38	26
38	64
38	91
38	104
38	109
38	128
38	158
38	174
38	198
38	200
38	208
38	243
39	3
39	131
39	241
41	83
41	93
41	125
41	130
41	168
41	171
41	247
42	16
42	65
42	85
42	119
42	189
43	62
